name,actions
株式会社ＮＩＣＳ,当社の取り扱うRPAのうちSynchroidかAutomation Anywhereのどれか１種類を1つ、期間限定（３か月）ライセンスを無料提供。またロボットを１種類無料作成。
株式会社インターロジック,デジタル化促進のためのウェビナー開催
一般社団法人日本IT団体連盟,加盟団体の企画を取りまとめた情報発信
全国ソフトウェア協同組合連合会,JASPAとしては、まだこれからの検討となるが、１月に新春イベントの代替として行う新年特設ページ・５月のJASPAフェア・秋開催の会員組合主催のHISCOフォーラム、KT-NETフェスタなどが予定されており、これらの中でデジタルの人の連携プログラムを企画することが考えられる。
一般社団法人日本スマートフォンセキュリティ協会,安全なアプリ開発方法の啓発などスマートフォンのセキュリティに関するイベントで参加予定
一般財団法人インターネット協会,会員企業への事前告知及び、当協会Webサイトでの閲覧者への周知
株式会社ステップワールド,「デジタルの日」当日限定！自社ショッピングサイト「プレミアムショッピング」（http://wpets.jp/）ご利用時でポイント10倍付与
一般社団法人教育イノベーション協議会,デジタルの日と連動した、EdTechをテーマとするオンラインイベントの開催
（一社）情報処理学会,セミナーなど
株式会社グッドパッチ,デジタル化におけるデザインの重要性について認知向上・理解促進を目指し、デジタルの日の関連イベントなどで代表土屋が登壇
一般社団法人　コンピュータソフトウェア倫理機構,"①ダウンロード配信を行っているソフ倫の加盟会社様（賛助会員）にキャンペーンを実施していただく。 ②ソフ倫が協賛するクラウドファンディングサイトにて、デジタルの日にクラウドファンディングへの支援を行ったユーザー様に対して、先着1,000名様に電子マネーやポイントを付与する。 ※ソフ倫加盟会社大手3社に電子マネーやポイントの協賛を依頼 (1)アマゾンジャパン様（日本最大の通販サイト） (2)DMM.com様（日本最大のデジタルマーケット/ダウンロードサイト） (3)アニメイト様（アニメグッズ・ゲームソフト販売　※鬼滅の刃等）"
一般社団法人超人スポーツ協会,「超人スポーツEXPO 2021 〜 デジタルとスポーツの融合の祭典」 10月10日は 1964 東京オリンピックの開会式を記念し 体育の日であったことを鑑み、我々は10⽉10⽇という⽇付を固定して「スポーツ×デジタルの⽇」と捉えたい。 この記念⽇は、回顧するのみならず、未来に向けて新たなものを⽣みだす⽇である。 従来のスポーツを「三密」を防ぎつつ臨場感たっぷりに観戦できるVR/⼈間⽀援/拡張技術を⽤いた⼈機⼀体のスポーツや、ロボットコンテスト、各種プログラムコンテスト、 そしてコロナ禍で躍進が⽬覚ましいeスポーツが⼀堂に会するような、スポーツとデジタル社会の未来形を⽇本から世界に発信する祭典を企画する。
放送大学学園,BSデジタル放送により大学教育を提供する日本唯一の大学として、ホームページや学生募集案内などにその旨を記載し広く広報する。また、デジタル技術を体系的に解説し、我が国のデジタル人材の教育・育成を行うための番組などを制作し、デジタルの日前後にBS231chで放送する。
INSIGHT LAB株式会社,DXに関わる案件についてのナレッジを社内で共有する勉強会を実施する
株式会社５,◆社会インフラ・プラットフォーム等のデジタル化の状況を俯瞰し、コンテンツを企画。 ◆コンテンツの企画および制作における生産性改善につながる、デジタル施策の見直し・改善案の立案。 ◆経営管理・業務管理等の管理工程における生産性改善につながる、デジタル施策の見直し・改善案の立案。
ヴィエムウェア株式会社,（仮）オンラインでITに親しんで頂けるイベント等を開催予定。
エブリセンスジャパン株式会社,＜データ取引市場 ビジネスマッチングデータEXPO Anniversary＞ データを実際に販売・加工している先駆的企業から、そのデータの特徴や活用事例を聞くことで、 データの利活用やマネタイズのしかたについてヒントを得るオンラインのイベントを予定しています。 弊社は、データの売り手と買い手をつなぐ「データ取引市場」としてデータ流通を活性化させるために、データに関わる方の役に立つイベントを定期的に開催しています。 今回のイベントは「ビジネスマッチングデータEXPO Anniversary」と題して、弊社データ取引市場EverySense PROをご利用いただいているデータ提供者・データ流通支援事業者に加え、先駆的な取り組みを行っている企業様に登壇いただき、自社の取り組みについて講演いただきます。 世の中にあるデータの詳細やデータの技術的可能性について担当者から直接話を聞くことで、 データの知見を深め、データの利活用アイデアやマネタイズの発想に役立つはずです。 一度に複数社のデータ活用事例を聞くことのできるまたとない機会です。 参加無料のイベントです。皆様のご参加を心よりお待ちしております！
株式会社アステム,「手話と字幕のついたオンライン会議のやり方」セミナー ▼ろう者、難聴者、健聴者、どなたでもご参加いただけるセミナーをご提案させていただきます。
グローバルEdTech推進委員会（事務局：株式会社EduLab）,Global EdTech Startups Awards（GESA）日本予選の開催を計画しています。GESAとは、2021年世界で最も有望なEdTechスタートアップを表彰する、世界最大のEdTechスタートアップコンペティションです。
旭化成株式会社,社内への、ＤＸ推進についてのトップメッセージの発信
創ネット株式会社,請求書の電子化 サイバーセキュリティ対策 FAXのWeb化 マーケティングオートメーション 経費処理のデジタル化 顧客管理のクラウド化
株式会社フェイスネットワーク,暮らしとDX、IoTに関するアンケート（検討中）
日本テクノ株式会社,社長がモデレーター、各部署の役員やスタッフがパネリストとなり、WEBセミナー「日本テクノ活躍セミナー」を企画し開催する予定です。（会社から貸与しているIPADやIPHONEなどのデジタル端末を使用）社内の風通しを良くするため、現場からの質問やボトムアップアイデアを発表し、役職に関わらず意見を出し合い、業務改善や各部署の問題点の解消を目的とした全従業員が参加できる取り組みです。
全国カレンダー出版協同組合連合会,カレンダーに「デジタルの日」を掲載する機会を広げるよう、元になる当組合発行の暦情報に該当日を追加するほか関係者に告知する。なお、実際のカレンダーへの掲載は2023年版以降になります。
株式会社オプトデジタル,完全リモートDayなど、様々な施策を検討中。
株式会社Paidy,「Paidyが実現するお買いもの体験のアップデート（仮）」をテーマに、代表・リーダーシップメンバー・パートナー等の言葉を通じたPaidyの取り組み・ビジョンの発信を検討します。また、ソーシャルメディア等を通じた告知も実施予定です。
日本ドキュメントサービス協同組合連合会,テーマ：DX社会に貢献する業界への進化 事業案：業界新ドメインである“Document Services by Digital”の全所属員への啓発活動
一般社団法人デジタルメディア協会,実施内容等についての告知協力（サイト、メールによる会員企業、関連企業・団体への告知等）
一般社団法人日本クラシック音楽事業協会,デジタルの日である旨、ホームページで周知
全日本空輸株式会社,デジタル・イノベーションに関する啓蒙や体験を行うイベント等
戸田建設株式会社,デジタル化が進みつつある建設現場の見学会
株式会社ミッド佐賀,デジタルデビューしていない社員にデジタルな買い物等をすることを促す。 セキュリティー委員会を設置し見直し改善等を継続する。
一般社団法人情報通信技術委員会,セミナー開催予定
株式会社東名ヒューズ,・RPAで作成したロボットについての発表 ・DXツール案内先の紹介
日本電業工作株式会社,社内システム運用のセキュリティに関する社内一斉注意喚起・点検
コイズミ照明株式会社,・WEB上での照明シュミレーション ・顧客に向けたウェビナーの実施 ・SNSを活用した自社製品キャンペーン ・照明環境設計に関わる様々なデータのDLシステム構築
xID株式会社,全社的なバーチャルオフィスの実施
ヒューリック株式会社,デジタルに一歩、を考える日
一般社団法人中部広告制作協会,おウチでデザイン！ クリエイター交流ネットミーティング
一般社団法人　日本産業・医療ガス協会,記載内容確認のための書類印刷をやめる
株式会社みらいワークス,・社内全員リモートワークの実現。 ・社内外の全会議、オンライン会議の実現。 ・お客様から受注して推進している『DXプロジェクト』の事例を社内で再認識し、自社内の業務でデジタル化可能なものについて１つ以上アイディアを出し、社内DXを推進している部署に提案。
ユニファ株式会社,【「スマート保育園®」構想の実現】共働き・女性の就業率が上昇し保育施設が「社会インフラ化」となる中、保育士離職の低下につなげるICTを活用した保育現場の業務負担軽減と保育の質・やりがいの向上について
一般社団法人京都府情報産業協会,一般府民への情報化セミナーを企画し、ホームぺージで告知及び参加者を募集、関係諸団体のメルマガでも広く告知依頼。 ＊開催日は令和３年１０月中旬で検討
株式会社イーワークス,・テレワークの推進 ・WEB会議環境の整備 ・紙の書類（請求書等）のデジタル化 ・電子決済
一般社団法人組込みシステム技術協会,①会員企業に「デジタルの日」の周知とデジタル関連（Web会議等の推奨等）のメールを配信する。 ②Web会議による委員会、WGの開催奨励 ③自宅等でのテレワーク作業の推進 ④デジタルイベントの開催
一般社団法人融合研究所,当所がお付き合いさせて頂いてる団体様・企業様のお取り組みにご協力させて頂きます。
株式会社STANDARD,・自社のデジタルに対する取り組みの見直し、改善 ・顧客のデジタル変革に対する弊社提供サービスのブラッシュアップ
一般社団法人デジタルリスク協会,具体的な取り組みへの参画という感じではありませんが、コンセプトにある出来事の振り返りは、DRAのフォーラムなどを通じて継続的にデジタル領域のリスクについての振り返りを実施いたします。
一般社団法人CiP協議会,「デジタルの日」の前後にシンポジウム、イベント等検討しております。
一般社団法人超教育協会,「デジタルの日」記念、オンラインシンポジウム等を想定(コロナ状況に従いイベントなどに変更することも想定)。
特定非営利活動法人日本ネットワークセキュリティ協会,情報セキュリティに関する一般向けセミナーイベントなどを企画
株式会社サートプロ,デジタル改革教育として音声配信でデジタル・トランスフォーメーションDayをリレー形式で発信します。プロやユーザーがデジタルに慣れ親しむ日に新しい価値の提供を実現します。
株式会社中日アド企画,■全社一斉でのテレワークへの取り組み ■自社デジタルメディアや自社デジタルサイネージの開発 ■オンラインでのイベントやセミナーの実施 ■デジタル広告やデジタルコンテンツによるプロモーションの支援
センターフィールド株式会社,・社内セキュリティの管理方法の点検と見直し ・2020年に受講したIT関連セミナーの情報共有（勉強会） ・社内の電子化進捗の共有 ・顧客企業のデジタル化を推進するためのWebミーティング
一般社団法人日本eスポーツ連合,「デジタルの日」の近辺で開催されるeスポーツ大会にあわせて、日本全国のeスポーツ選手を応援する施策を実施いたします。
iU（情報経営イノベーション専門職大学）,「デジタルの日」の近辺で開催される各種イベント等を応援・協力する施策を実施いたします。
IoT検定制度委員会,Digital Days for IoTプロフェッショナルとして情報を発信します。IoTのプロやDXコンサルタントがユーザーにむけてデジタル化支援のご提案をいたします。
FPTコーポレーション,2020年10月に菅義偉首相が就任後初の外遊先として選んだベトナムのIT業界をリードする弊社が主催となり、日越におけるデジタル変革（DX）に対する取り組みやトレンドなどを紹介およびディスカッションする場を、「デジタルの日」に開催する計画です。 ベトナムのデジタル省の担当者なども招き、日本市場のお客様との有意義な情報交換の場をオンラインで設けることが出来ればと考えております。
株式会社クレスコ,社員が日頃培ったデジタル技術を活用し、社会に貢献できるアイデアを形にして持ち寄り、その出来栄えを競うオンラインイベント「クレスコフェア2021」をデジタルの日に合わせて開催します。今回は子供たちにもデジタル技術を体験してもらう 「子供クレスコフェア（仮称)」を同時開催し、イベントに花を添える予定です。
SYNC NETWORK JAPAN,日本全国のライブハウスをデジタルの力で結び、新しい時代のエンターテイメントを実施。全世界へその模様を配信へ。
㈱ 国際マイクロ写真工業社,日本経済の復活 各県に所有されている古文書のデジタル化（OCR変換可能）で町おこし https://www.kmsym.com/n/t-naiyou02.pdf
メリービズ株式会社,■SNS(Twitter、Facebook)での情報発信 ■マーケティングオートメーションツールによるニュースレター配信
情報信託機能普及協議会,自サイトでの特設Webサイト紹介および祝祭の告知。祝祭イベント等における情報銀行認定事業者の取り組み紹介および情報銀行で解決可能なデータ流通社会等のコンテンツ提供。
アイエックス・ナレッジ株式会社,次世代の子どもたちに向けたデジタル体験教室など、デジタル啓発活動の検討や取り組みを予定している。
株式会社日本ピュアシステム,全社一斉でのテレワーク及びオンライン会議
三井住友海上火災保険株式会社,当社デジタル施策のプロモーション AIを搭載した業界初の代理店営業支援システム「MS1 Brain」の「今日は何の日」を「デジタルの日」にする。（当社約４万代理店の目に触れます。）
株式会社日本データコントロール,全社一斉テレワークの日
横河電機株式会社,Workstyle変革のためのChat活用キャンペーン
三菱地所株式会社,全社一斉テレワークの実施
楽天株式会社,楽天グループの提供するサービスのキャンペーンなど含めて検討中
アイネットシステム株式会社,オンラインチャットツール上で、最近のデジタル体験や興味・関心のあるデジタルなヒト・コト・モノについて会話する社内イベントを開催。
一般社団法人新経済連盟,社会全体のデジタル化の推進に当たっての啓発活動などを含めて検討中
株式会社ユーティーワイ企画,＊セキュリティーの強化 ＊パスワードの見直し ＊テレワークの実施
トレジャーデータ株式会社,全社一斉のテレワーク、ID・パスワードの見直し、プロモーションメールを配信しデジタル化・DXの啓蒙を行う など
株式会社OPT Incubate,0→1　デジタル新規事業賞の発表
特定非営利活動法人ITコーディネータ協会,協会HPでの告知、メルマガでの配信など
ヤマハ株式会社,Syncroom（遠隔セッション）の使用推奨
国立研究開発法人科学技術振興機構,デジタルに関連する常設展と絡めたトーク・イベント等
一般社団法人全国地域情報産業団体連合会（ANIA),講演会・セミナー，情報関連のフェア，展示会などを，各協会とともに実施します。それらの催しはウェブサイトで告知し，広く一般に周知します。
特定非営利活動法人日本ビジネスモデル学会,期間に、デジタルトランスフォーメーション関連のテーマでのイブニングセッションを開催する予定
京都コンピュータ学院・京都情報大学院大学,1963年の創立以来の授業等で使用した実習機器をKCG資料館内に保存しています。デジタルの日に合わせて，「コンピュータ発展の歴史を思う日」として，KCG資料館内の保存機器を広く一般に公開するとともに，学生・教職員をはじめ一般の方々を対象に関連する講演会などを実施します。 ※KCG資料館は，一般社団法人情報処理学会より分散コンピュータ博物館の認定を受け，情報処理技術遺産７機種を含め，保有する機器は国内で最大規模を誇ります。
東和電気株式会社,お客様情報の電子管理、営業情報のデータ分析、社内決済業務の電子化、文書の電子管理
ヤマハ発動機株式会社,社内デジタル活用推進活動の振り返り
アズビル株式会社,「デジタルの日」を中心とする期間に実施する取り組みを検討中です
株式会社フォーバル,『Digital Day For 中小企業』と銘打って、中小企業のデジタル化推進を考える機会を持つ。中小企業のデータ活用を考えるデータソンや中小企業経営者同士のオンライン交流会、または社内イベントを開催し、顧客を巻き込んで「デジタル化」において遅れがちな中小企業経営者の意識の高まりや取り組みの推進を促すことのできる機会としたい。
特定非営利活動法人情報オリンピック日本委員会,日本情報オリンピック関連イベント
株式会社ＫＤエレクトロニクス,全社員のテレワークや地元の子供達を対象に電子工作教室等の案が出てますが、現在検討中です。
一般社団法人　データ社会推進協議会,データ社会実現に向けた産学官連携シンポジウムなど
株式会社ラック,セキュリティや情報モラルに関するコンテンツ配信など
株式会社AIoTクラウド,★IoT家電を接続せず使っている方へ接続利用を啓蒙　（１）IoT家電をクラウドに接続して使ってみる　（２）IoT家電をスマホや音声で操作してみる　（３）スマートキッチンを体験してみる。献立決め～買い物～調理をデジタルのみで実行し、大切な人と食事を共にする。
フィッシング対策協議会,デジタル化に不可欠なセキュリティにおけるフィッシング詐欺に関する注意喚起、啓発等の取組
富山ニュービジネス協議会,時間させあえばどこからでも参加できるデジタルに関するオンラインイベントの開催
東京大学,現在検討中ですが、東京大学のこれまでの取組み実績を活かしつつ、本学の総合知を活用したシンポジウムの開催など検討していきたいと考えています。
株式会社ドルフィンスルー,資産管理品（ＰＣ関連機器）の棚卸とデータ整理
株式会社リコー,●お客様に価値を生む仕事に特化していただくために、デジタルと人の間でどんなお役立ちができるか、お客様の声に耳を傾けながら社員が一緒に考える ●お客様にデジタルサービスを提供する会社の一員として、教育や訓練を通じて情報セキュリティに対する能力を高める
株式会社 日本経済広告社,社内DX推進を浸透する研修や勉強会を開催。
株式会社アイティエス,デジタルの日を起算日として、その年1年間に実施したDX事例の再共有を行い、その成果や今後の展望などを共有することで、DX化の意識づけと推進強化を図ります。
数理・データサイエンス教育強化拠点コンソーシアム,数理・データサイエンス・AI教育に関するシンポジウム・ワークショップ等での広報・発信
TDCソフト株式会社,「TDC Technology Beyond 2021」 「TDC Technology Beyond 」は、今後の社会やビジネスに大きなインパクトをもたらすデジタル技術や市場動向を踏まえ、 テクノロジーがもたらす将来変化を予見し、当社の注力分野を見定めるための取り組みです。 ３～５年後のデジタル化社会の未来を予見し、次年度から準備を行うべき分野を有識者で議論し、選定を行います。
東京大学 大学院情報理工学系研究科,最先端の情報理工学・デジタル技術の研究開発と産官学連携によるデジタル化推進・高度利活用に関する活動および情報発信
大光電機株式会社,デジタルインフラの課題調査・対策立案
株式会社イプシロンソフトウェア,情報管理について再確認する。e-sportsイベントに参加する。
日本電信電話株式会社,リモートワールドを体現する3D空間型オウンドメディア「DOOR」やSNS等における特別コンテンツの配信、リモートワークの更なる推進、業務PCのOS•アプリのアップデート等セキュリティ点検等
一般財団法人デジタルコンテンツ協会,デジタルをテーマとするDCAJビジネスセミナー
株式会社クロスキャット,「デジタルアイデアのコンテスト（仮称）」 デジタルに触れ会う機会の創出を目的に、広くデジタルにまつわるユニークなアイデアを募集し、魅力的な作品を選定して「デジタルの日」をターゲットに発表するイベントの開催を検討していく。
大手家電流通協会,大手家電流通協会は加盟店舗店頭で数多くのデジタル家電をご用意し、お客様に実際にお試しいただく事で、デジタルの日を体感していただけます。
瀬味証券印刷株式会社,社員へのデジタル化への意識を向上させる意味でアンケートの実施、公開 テーマ：社内、社外のデジタル化について
リベラ株式会社,小学生を対象とした、ロボット・ドローンプログラミング教室
株式会社LIFULL,不動産業界のデジタル化推進に向けた取り組みについてSNSで発信
国⽴研究開発法⼈科学技術振興機構,デジタルの⽇に関連したイベントや情報発信
グーニーズグループ,・メンバーのリテラシー向上の為の研修等 ・メンバーや家族がライフスタイル向上の為のデジタル活用術の発信
独立行政法人国立高等専門学校機構,"○教職員及び学生向けに情報関係や情報セキュリティに関する研修会開催 ※主催は高専連合会ですが、高専機構の学生が参加するコンテストとして登録します。 ○第32回全国高等専門学校プログラミングコンテスト（本選） 日程：令和３年１０月９日（土）～１０月１０日（日） 会場：秋田総合生活文化会館・美術館アトリオン 主催：一般社団法人全国高等専門学校連合会（主管：秋田高専） 概要：情報通信技術におけるアイデアと実現力を競い,発想の柔軟性と豊かな創造性を養うことを目的として,平成２年より毎年開催。"
株式会社NTTドコモ,・ホームページやSNS等における特別コンテンツの配信 ・スマホ教室での特別イベント実施、リモートワークの更なる推進等
アステラス製薬株式会社,デジタルリテラシーの向上に向けた社内コミュニケーションの場「IS Genius Cafe」を開催。ITに関する相談、社内に導入されていないデバイスの展示や紹介、ミニワークショップの開催など、カフェのような雰囲気の中で五感を通じた体験を提供する。
日本新薬株式会社,デジタル関連のWebinar開催 全社規模のテレワーク（BCP対策も兼ねて）
大学共同利用機関法人 情報・システム研究機構 統計数理研究所,EBPMや公的統計に関する統計数理研究所の取り組み紹介 ・政府機関EBPMにおけるディジタルデータ 利活用のノウハウ提供 ・国際協力銀行、信用保証協会連合会などへ の統計モデル提供 ・政府ミクロデータの研究利用への指導 ・個人情報流通に関するセキュリティ技術の 開発
株式会社アイ・クリエイティブ,DX研修実施 リアルとバーチャルの融合研修実施
株式会社アドヴォネクスト,Digital Days For ひのひかり
ライフit株式会社,・DX事業の進捗確認 ・DX推進施策の立案
株式会社GV Japan,LED照明の寄付
株式会社NTTデータ,・「小学生へのオンラインプログラミング教育」の開催を検討 ・デジタルで切り開く日本の未来の配信映像を検討 　～想像した社会を創造し、豊かな未来へ（仮題）～ ・ベンチャー企業とのビジネスマッチングイベントの開催を検討
一般社団法人コンピュータソフトウェア協会,「デジタルの日」に合わせて、会員企業に向けたCSAJのWebサイトやメールでの告知、および関連セミナー等を実施するほか、CSAJが事務局を務める「U-22プログラミング・コンテスト」を絡め、子供たちや学生まで巻き込んだ企画を検討してまいります。
株式会社ACSiON,セブン銀行の子会社として、HPにてセキュリティに関する啓蒙を予定してます。
Code for CAT,猫に関するQ＆Aを集めてチャットボットにするワークショップ「ライタソン」
株式会社 USEN-NEXT HOLDINGS,・全社リモートワークデー ・新卒採用オンラインセミナー ・新卒採用オンライン面接 ・デジタルイノベーション社内コンテスト
一般社団法人MyDataJapan,単独もしくは関連団体と共に、デジタル時代における人間中心のパーソナルデータ利活用を啓発するイベントを開催する。
公益社団法人全日本広告連盟,■事務局職員一斉テレワーク ■オンラインイベント、セミナー
Code for SAITAMA,誰でも自由に地図を使えるよう、みんなでオープンデータの地理情報を作るプロジェクトOpenStreetMapの普及啓蒙活動
ジャブロ工業株式会社,家族とデジタル情報交換Ｄａｙ 会社、学校、無職(退職)など、社会と関わり方が異なる近い人同士で、「いつも何つかってる？」「これ便利」など、知ってるようで知らない情報を交換をする。
BABAlab,高齢化社会の課題にたいして、「長生きするのも悪くない」と思える仕組みのアイデアを、シニアや市民、行政が一緒に考えるイベント『シニアテック』を実施予定。
株式会社 Civichat,自社サービスのセキュリティの確認・見直し 利用しているサービスのID・パスワードの見直しと変更
シビックテックさいたま,市民と行政が、フラットな関係で「住んでいてよかった」と思える街づくりについて話し合い、行動できるような場『テーブルforシビックテック』を開催。
日本オラクル株式会社,テクノロジー・カンパニーである日本オラクルが、デジタル関連技術・サービスに関連して「人に優しいデジタル化」による「誰一人取り残さない」社会の実現に向け、今までも注力してまいりました以下取組を中心に一層強化してまいります。これにより、デジタルについて振り返り、体験し、見直すサイクルをもってデジタルに触れて感じる祝祭に寄与してまいります。 1.「質の高い目標をみんなに」：小中学生や児童養護施設のお子さん向けプログラミング教育 2.「働きがいも経済成長も」：自社DX事例Oracle@Oracleの取り組みを総括し社員の更なる生産性向上に努める 3.「気候変動に具体的な対策を」：オラクル本社が毎年公開している「Corporate Citizenship Report」の “A More Sustainable Computing Platform in the Cloud”の社内勉強会
電子情報通信学会　ネットワークシステム研究会,10/6-8に開催される学会（研究会）にてデジタルの日にちなんだ特別セッションを予定（調整中）
NTTコミュニケーションズ株式会社,・自社メディア等による特別コンテンツ配信 ・リモートワークの更なる推進　等
株式会社クシムソフト,「アナログ→デジタルに出来る業務プロセスのアイデア募集」という社内イベント
Hmcomm株式会社,デジタル技術を活用したイベント、セミナー
東京大学,デジタル創成ワークショップ： デジタル情報を用いた新たなシステムを創成する技術を紹介するワークショップを開催する。 データジャケットを用いて、デジタル社会を構想するデータエクスチェンジ・ワークショップ（DXその１：nnovators Marketplace on Data Jacketsを利用）を実施する。特に、デジタルトランスフォーメーション（DXその２）においては、既にデータになっている「情報の実部」のみならず、なりにくい人間のメンタルな側面をふくむ「情報の虚部i」までデータサイエンスの土俵に乗せることに注意を向けることによって、「安全性」「安心感」「発展性」「持続性」を伴う社会にむけた飛躍（Society XのXは整数）を、様々な生活者とともに構想したい。
オープン川崎/Code for Kawasaki,地域LINEボット作成
Code for Shiogama,宮城県塩竈市の課題解決ワークショップ
シニアプログラミングネットワーク,シニアのプログラミング成果発表会。
HOKKAIDO SNOW JEWELS,・食のおいしさをITを通して普及啓発する ・農の楽しさをITを通して普及啓発する ・「おいしい」を世界の標準語としてみんなで口にする取組み
Code for Nagoya,アイデアソンなど
三島熱海落語会,Vtuberによる落語番組をYoutube配信します。
（株）YAMAGIWA,・社内デジタルリテラシー向上の為のオンライン勉強会の開催他　検討中
Code for YOKOHAMA,アイディアソン・ハッカソン
国立情報学研究所,国立情報学研究所（NII）では、「研究」と「事業」を両輪として、情報学による未来価値を創成しています。市民講座をオンライン配信により「デジタルの日」に開催する予定で、SINETをはじめ、最先端の情報学に関連したテーマについての講演を検討しています。
株式会社テセラクト,プログラミング教育の講演会。
インフォ・ラウンジ株式会社,業務改善DXアイデアソン
Code for Toyama City,市民参加型のイベント(内容は検討中)
名古屋工業大学 白松研究室,Code for Nagoyaと連携したアイデアソン等
BADオープンデータ供養寺,データ供養
株式会社137,全社テレワーク
Code for Hakodate,トークイベント・データ作成ワークショップなど
⽇本ユニシス株式会社,利⽤者へのキャンペーンを推進
株式会社ブンカ,私たちに関わりのある「あらゆるもの」がICT化され、「さまざまな情報」がデジタル化されることにより、確実により良い顧客体験を提供することが可能になりました。 私たちブンカも「デジタルの日」に向け、今までにないサービスを提供すべく 社会に貢献し、発信していきます。
株式会社LOCKUP,PC、スマートフォンなどデジタル端末利用への理解を深めるワークショップ デジタル媒体を利用した福利厚生など
矢崎総業株式会社,
ライク株式会社,
Polar Fox株式会社,
一般社団法人 IT検証産業協会,
トランスコスモス株式会社,
株式会社inglow,
株式会社デジタルシフト,
防災科学技術研究所,
Bonds Investment Group株式会社,
Tuya Japan株式会社,
株式会社SIGNATE,
アユミ工業株式会社,
マクダーミッド・パフォーマンス・ソリューションズ・ジャパン株式会社,
株式会社宣伝会議,
ルミーズ株式会社,
リックソフト株式会社,
全国電機商業組合連合会,
情報技術開発株式会社,
東急株式会社,
株式会社オデッセイ コミュニケーションズ,
日本オルボテック株式会社,
華為技術日本株式会社,
Creww株式会社,
日本アイ・ビー・エム株式会社,
日本クラウドキャピタル,
株式会社デジタルホールディングス,
株式会社オプト,
株式会社エウレカ,
株式会社レアジョブ,
ソウルドアウト株式会社,
株式会社コトラ,
DataGateway株式会社,
リフィニティブ・ジャパン株式会社,
アクセンチュア株式会社,
凸版印刷株式会社,
株式会社サクセス,
カシオ計算機株式会社,
株式会社トライオード,
一般社団法人日本コンピュータシステム販売店協会,
特定非営利活動法人　日本セキュリティ監査協会,
株式会社カーセブンディベロプメント,
株式会社光アルファクス,
ＳＯＭＰＯホールディングス株式会社,
一般社団法人　映像配信高度化機構,
全日本電設資材卸業協同組合連合会,
損害保険ジャパン株式会社,
SOMPOシステムズ株式会社,
RITAエレクトロニクス株式会社,
株式会社図研,
株式会社Ｍマート,
株式会社ピーエムティー,
独立行政法人情報処理推進機構,
グロービッツ・ジャパン,
角田無線電機株式会社,
特定非営利活動法人日本データセンター協会,
富士ソフト株式会社,
アイシーズー株式会社,
IPDCフォーラム,
玉川電器株式会社,
一般社団法人安心ネットづくり促進協議会,
一般社団法人渋谷クリエイティブタウン,
株式会社博報堂,
株式会社イリックス,
千代田化工建設株式会社,
ソフトバンクグループ株式会社,
スズデン株式会社,
一般社団法人日本広告業協会,
株式会社リクルート,
株式会社博報堂ＤＹメディアパートナーズ,
株式会社シーフードレガシー,
株式会社　三誠,
SO Technologies株式会社,
Facebook Japan株式会社,
株式会社廣貫堂,
四国経済連合会,
一般社団法人Rubyビジネス推進協議会,
一般社団法人日本情報システム・ユーザー協会,
東洋計測器株式会社,
コナミホールディングス株式会社,
日本証券業協会,
株式会社ブロックチェーンハブ,
株式会社 bitFlyer,
リンク情報システム株式会社,
株式会社デジックデザイン,
日本商工会議所,
アマゾンジャパン合同会社,
一般社団法人アーティストコモンズ,
一般社団法人日本音楽制作者連盟,
鳥居電業株式会社,
世界オタク研究所,
Ｊ.フロント リテイリング株式会社,
株式会社両備システムズ,
富士通株式会社,
ザインエレクトロニクス株式会社,
一般社団法人オープン＆ビッグデータ活用・地方創生推進機構,
東海テレビ放送株式会社,
株式会社ＳＴＮｅｔ,
GMOグローバルサイン株式会社,
アマゾン ウェブサービス ジャパン 株式会社,
大日本印刷株式会社,
モリ電子工業株式会社,
株式会社ジェイテック,
株式会社Jストリーム,
日本電気株式会社,
株式会社シーエスアイ,
株式会社グローセル,
株式会社　セブン銀行,
アフラック生命保険株式会社,
フューチャー株式会社,
KDDI株式会社,
アラクサラネットワークス株式会社,
Code for SAKE,
三信電気株式会社,
国立研究開発法人理化学研究所,
ＤＮライティング株式会社,
第一生命ホールディングス株式会社,
株式会社OKUSYSTEM,
ソフトバンク株式会社,
セルプロモート株式会社,
Dynabook株式会社,
海洋研究開発機構,
Code for TODA,
株式会社　日立製作所,
株式会社三井住友フィナンシャルグループ,
パナソニック株式会社,
一般社団法人デジタルサイネージコンソーシアム,
株式会社電通グループ,
配信技術研究所株式会社,
株式会社137,
Code for Kyoto,
理由なきハンコプロジェクト,
株式会社TAMARIBA,
イベントレジスト株式会社,
